PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010701;SELECTOR AUDIO VIDEO 4 VIAS SAV 109               ;010701                                                      ;0,00 ; $ 18.500 ;0,00 
0010001010702;SELECTOR AUDIO VIDEO 4 VIAS PI 333                ;010702                                                      ;0,00 ; $ 20.500 ;0,00 
0010001010703;SELECTOR AUDIO VIDEO 4 VIAS TV 308                ;010703                                                      ;0,00 ; $ 33.900 ;0,00 
0010001010704;SELECTOR AUDIO VIDEO 6 VIAS TV 3416 TECH          ;010704                                                      ;0,00 ; $ 97.850 ;0,00 
0010001010705;SELECTOR AUDIO VIDEO TV-308A                      ;010705                                                      ;0,00 ; $ 29.800 ;0,00 
0010001010706;SELECTOR AUDIO VIDEO TV-308/ 309                  ;010706                                                      ;0,00 ; $ 25.600 ;0,00 
0010001010710;SELECTOR X JUEGOS AV                              ;010710                                                      ;0,00 ; $ 12.000 ;0,00 
0010001010712;SELECTOR X 4 JUEGOS BAFLES SPS104                 ;010712                                                      ;0,00 ; $ 32.800 ;0,00 
0010001010713;ADAPTADOR PARA JUEGOS BGSA100                     ;010713                                                      ;0,00 ; $ 10.300 ;0,00 
0010001010715;SELECTOR X 8 CANALES PARA BOCINAS IS M4           ;010715                                                      ;0,00 ; $ 90.300 ;0,00 
0010001010750;SPLITTER HDMI X2 4K CC-822                        ;010750                                                      ;0,00 ; $ 75.000 ;0,00 
0010007010755;EXTENSOR WALL PLATE HDMI SXEW603DIR               ;010755                                                      ;0,00 ; $ 530.000 ;0,00 
0010001010760;SPLITTER 8 SALIDAS 4K PS-296                      ;010760                                                      ;0,00 ; $ 220.000 ;0,00 
0010007010765;SPLITER OPTICO 1X2 X CABLE OPTICO JV-Y-OP         ;010765                                                      ;10,00 ; $ 37.000 ;209.000,00 
0010001010770;EXTENSOR PARA IMPRESORA JV-EXIMPRE                ;010770                                                      ;0,00 ; $ 17.500 ;0,00 
0010001010783;EXTENSOR HDMI  200MTS SOPORT IP MJPEG 90030127    ;010783                                                      ;0,00 ; $ 518.000 ;0,00 
0010001010785;EXTENSOR HDMI  60M NICOL                          ;010785                                                      ;4,00 ; $ 110.000 ;565.242,14 
0010001010786;EXTENSOR HDMI 4K 60M 1.4B HDSP8 PS-701            ;010786                                                      ;0,00 ; $ 335.000 ;0,00 
0010001010787;EXTENSOR HDMI CAT5/6 30M 1080P 27015              ;010787                                                      ;2,00 ; $ 16.000 ;143.647,46 
0010001010788;EXTENSOR HDMI 60MTRS HE260 10995                  ;010788                                                      ;1,00 ; $ 196.000 ;120.932,03 
0010001010789;EXTENSOR HDMI 30-60 MT X CABLE UTP PS-695         ;010789                                                      ;0,00 ; $ 170.000 ;0,00 
0010001001002;EXTENSOR USB 2.0 UH104 PS-6000                    ;01078901                                                    ;0,00 ; $ 29.000 ;0,00 
0010001010790;EXTENSOR HDMI 60MTS CAT5-6 1080P 10979            ;010790                                                      ;1,00 ; $ 175.000 ;105.042,00 
0010001010791;SPLITTER HDMI 4 SAL 1 ENTRADA 4K  PS-200          ;010791                                                      ;0,00 ; $ 97.000 ;0,00 
0010001001003;SPLITTER HDMI 2 SAL 1 ENTRADA 4K  B459 10671      ;01079101                                                    ;0,00 ; $ 45.000 ;0,00 
0010001010792;SPLITTER HDMI 8 SAL 1 ENTRADA 4K  PS-275/PS-306   ;010792                                                      ;1,00 ; $ 290.000 ;144.180,12 
